project_id,region,site,shrub_density,plot,cam_ID,date,image_id,file_name,location,is_blank,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,timestamp,number_of_objects,age,sex,animal_recognizable,individual_id,individual_animal_notes,behavior,highlighted,markings,cv_confidence,license
2004957,Carrizo,3,density,2,2, 17/05/2022,53004bd7-804f-4bf8-832c-bc489b995742,DSCF0004,gs://145625598251_2004957_186_cam_traps_2022__main/deployment/2213467/prod/directUpload/53004bd7-804f-4bf8-832c-bc489b995742.JPG,1,Computer vision,e70effd7-855e-4ba3-966c-a4fbb74eab13,Mammalia,Carnivora,Mustelidae,Taxidea,taxus,American Badger,,2021-01-02 15:13,1,,,FALSE,,,,FALSE,,0.9,CC0
2004957,Carrizo,3,density,2,2, 17/05/2022,5614afef-f55e-4426-b25d-dc3141a7fff6,DSCF0003,gs://145625598251_2004957_186_cam_traps_2022__main/deployment/2213467/prod/directUpload/5614afef-f55e-4426-b25d-dc3141a7fff6.JPG,0,Computer vision,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,Blank,,2021-01-02 15:12,1,,,FALSE,,,,FALSE,,0.89,CC0
2004957,Carrizo,3,density,2,2, 17/05/2022,4043251e-5791-4677-89cf-7c3631673daf,DSCF0006,gs://145625598251_2004957_186_cam_traps_2022__main/deployment/2213467/prod/directUpload/4043251e-5791-4677-89cf-7c3631673daf.JPG,0,Computer vision,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,Blank,,2021-01-02 17:07,1,,,FALSE,,,,FALSE,,0.92,CC0
2004957,Carrizo,3,density,2,2, 17/05/2022,b17bd793-1015-4208-98fe-eed11284ff5d,DSCF0005,gs://145625598251_2004957_186_cam_traps_2022__main/deployment/2213467/prod/directUpload/b17bd793-1015-4208-98fe-eed11284ff5d.JPG,0,Computer vision,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,Blank,,2021-01-02 16:28,1,,,FALSE,,,,FALSE,,0.91,CC0
2004957,Carrizo,3,density,2,2, 17/05/2022,c622870c-d641-45a7-bd25-42d326aa4e54,DSCF0001,gs://145625598251_2004957_186_cam_traps_2022__main/deployment/2213467/prod/directUpload/c622870c-d641-45a7-bd25-42d326aa4e54.JPG,1,Computer vision,990ae9dd-7a59-4344-afcb-1b7b21368000,Mammalia,Primates,Hominidae,Homo,sapiens,Human,,2021-01-02 6:58,1,,,FALSE,,,,FALSE,,0.99,CC0
2004957,Carrizo,3,density,2,2, 17/05/2022,cd065c1b-3bd5-4954-b6af-57ad1188e9bd,DSCF0010,gs://145625598251_2004957_186_cam_traps_2022__main/deployment/2213467/prod/directUpload/cd065c1b-3bd5-4954-b6af-57ad1188e9bd.JPG,0,Computer vision,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,Blank,,2021-01-03 15:04,1,,,FALSE,,,,FALSE,,0.91,CC0
2004957,Carrizo,3,density,2,2, 17/05/2022,eaa5ffa4-f2de-40a0-8798-30f28c656414,DSCF0007,gs://145625598251_2004957_186_cam_traps_2022__main/deployment/2213467/prod/directUpload/eaa5ffa4-f2de-40a0-8798-30f28c656414.JPG,1,Computer vision,90d950db-2106-4bd9-a4c1-777604c3eada,Mammalia,Rodentia,,,,Rodent,,2021-01-02 20:57,1,,,FALSE,,,,FALSE,,0.64,CC0
2004957,Carrizo,3,density,2,2, 17/05/2022,20b75bd6-33a2-4bab-8995-9b23c8151a15,DSCF0002,gs://145625598251_2004957_186_cam_traps_2022__main/deployment/2213467/prod/directUpload/20b75bd6-33a2-4bab-8995-9b23c8151a15.JPG,0,Computer vision,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,Blank,,2021-01-02 7:03,1,,,FALSE,,,,FALSE,,0.99,CC0
2004957,Carrizo,3,density,2,2, 17/05/2022,6b07bd3d-9db1-4f46-a872-24120ae10ac8,DSCF0008,gs://145625598251_2004957_186_cam_traps_2022__main/deployment/2213467/prod/directUpload/6b07bd3d-9db1-4f46-a872-24120ae10ac8.JPG,1,Computer vision,1f689929-883d-4dae-958c-3d57ab5b6c16,,,,,,Animal,,2021-01-02 21:13,1,,,FALSE,,,,FALSE,,0.86,CC0
2004957,Carrizo,3,density,2,2, 17/05/2022,fc6d9b85-b4be-433c-b16c-874a729db4f2,DSCF0012,gs://145625598251_2004957_186_cam_traps_2022__main/deployment/2213467/prod/directUpload/fc6d9b85-b4be-433c-b16c-874a729db4f2.JPG,0,Computer vision,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,Blank,,2021-01-04 14:07,1,,,FALSE,,,,FALSE,,0.94,CC0
